customerID,tenure,MonthlyCharges,SeniorCitizen,InternetService,PhoneService,Contract,Churn
CUST_0_202,30,106.89049844787182,0,Yes,Yes,Two year,1
CUST_1_535,51,77.06097466388297,0,No,Yes,Two year,1
CUST_2_960,63,23.038705969683686,0,No,Yes,Month-to-month,1
CUST_3_370,52,113.09486955069778,0,No,Yes,One year,1
CUST_4_206,38,88.95267510315611,0,Yes,No,Month-to-month,0
CUST_5_171,30,87.65133857772466,0,Yes,No,Month-to-month,0
CUST_6_800,51,41.56751523977171,0,Yes,No,One year,0
CUST_7_120,5,85.88854702326572,0,No,No,Two year,0
CUST_8_714,29,59.386440565415846,1,Yes,No,One year,0
CUST_9_221,4,85.12329770414921,1,Yes,Yes,Two year,0
CUST_10_566,10,30.659303030799073,0,Yes,No,Two year,1
CUST_11_314,56,85.7845304603036,0,Yes,No,One year,0
CUST_12_430,17,119.94137257706666,0,Yes,No,Month-to-month,0
CUST_13_558,17,24.821203886055603,0,Yes,Yes,One year,1
CUST_14_187,69,117.71741842213171,0,Yes,Yes,Two year,0
CUST_15_472,34,60.690796072287064,0,No,No,One year,0
CUST_16_199,6,107.07534503372592,0,No,Yes,One year,1
CUST_17_971,53,98.23854840582734,0,No,Yes,Two year,0
CUST_18_763,66,76.70162609866678,0,Yes,No,Month-to-month,0
CUST_19_230,43,93.84492092513266,1,Yes,Yes,One year,0
CUST_20_761,23,107.8515561301348,1,No,Yes,Two year,0
CUST_21_408,55,60.4140321651033,0,Yes,Yes,Two year,1
CUST_22_869,16,52.70331615632387,0,No,No,One year,0
CUST_23_443,8,86.75933855635847,1,Yes,No,Month-to-month,0
CUST_24_591,4,100.78459419412586,0,Yes,No,One year,0
CUST_25_513,4,96.22851347766158,0,No,Yes,Month-to-month,0
CUST_26_905,56,99.78136488586344,0,No,No,Month-to-month,1
CUST_27_485,25,63.5583314812933,0,No,Yes,Month-to-month,0
CUST_28_291,67,101.78342161750216,0,No,Yes,Month-to-month,0
CUST_29_376,67,32.02090553706084,1,No,Yes,One year,0
CUST_30_260,27,74.44890979608495,1,Yes,No,Two year,0
CUST_31_559,32,20.575866049812156,0,Yes,No,Two year,1
CUST_32_413,50,52.45858299002703,0,Yes,No,Two year,0
CUST_33_121,61,56.646153487139784,1,No,No,Two year,0
CUST_34_352,51,59.61726916092554,0,No,Yes,Two year,0
CUST_35_847,19,89.54672066898621,1,No,No,Two year,1
CUST_36_956,21,58.85581012703457,0,No,Yes,One year,0
CUST_37_660,5,64.86936226225306,0,No,No,Month-to-month,1
CUST_38_574,42,43.754413087432745,0,No,No,Two year,0
CUST_39_158,61,57.325179162934006,0,Yes,No,One year,1
CUST_40_610,22,42.72696272631515,0,Yes,Yes,Two year,0
CUST_41_781,21,27.31959237684436,0,Yes,Yes,Two year,0
CUST_42_575,70,80.3448593381378,0,Yes,Yes,Month-to-month,0
CUST_43_799,1,86.82127985550163,0,Yes,Yes,Month-to-month,0
CUST_44_882,5,81.94903460096145,0,No,Yes,Month-to-month,1
CUST_45_289,12,66.34940438005724,1,No,No,Two year,1
CUST_46_786,46,57.978578017922985,1,No,Yes,Two year,0
CUST_47_662,34,106.33336495718252,0,No,Yes,Two year,0
CUST_48_975,49,71.9081785136218,1,No,Yes,Month-to-month,0
CUST_49_666,45,67.91818776297309,0,No,Yes,One year,1
