customerID,tenure,MonthlyCharges,SeniorCitizen,InternetService,PhoneService,Contract,Churn
CUST_0_202,62,,0,Yes,No,One year,0
CUST_1_535,40,64.77831645730916,0,No,No,One year,1
CUST_2_960,53,75.28930890713279,0,No,Yes,Two year,1
CUST_3_370,24,79.26967238793935,0,No,No,Two year,1
CUST_4_206,26,28.085332633271523,1,No,Yes,One year,0
CUST_5_171,60,56.96544560614045,1,Yes,Yes,Two year,0
CUST_6_800,41,44.21599382774259,0,No,Yes,Month-to-month,0
CUST_7_120,29,100.31397563798959,0,Yes,Yes,Month-to-month,0
CUST_8_714,15,67.03006344460384,0,No,No,One year,1
CUST_9_221,45,118.34231408948429,0,No,No,One year,1
CUST_10_566,65,59.88244424445531,0,No,Yes,One year,1
CUST_11_314,71,101.6431873219384,0,Yes,Yes,Month-to-month,1
CUST_12_430,9,99.83451249845511,0,No,Yes,Two year,0
CUST_13_558,1,35.07175439654295,1,No,No,Month-to-month,1
CUST_14_187,8,70.81987767407186,0,No,Yes,Two year,1
CUST_15_472,63,89.58128067908818,0,No,Yes,Month-to-month,1
CUST_16_199,11,105.83588048137199,0,Yes,No,Two year,0
CUST_17_971,8,52.595890520188476,0,No,No,Month-to-month,0
CUST_18_763,35,42.02410475655483,0,Yes,Yes,One year,0
CUST_19_230,35,91.11495324380178,0,Yes,No,Month-to-month,1
CUST_20_761,33,100.95010461397155,0,Yes,No,Two year,0
CUST_21_408,5,54.866598729172935,0,Yes,Yes,Month-to-month,0
CUST_22_869,41,29.617655109142078,0,Yes,No,Month-to-month,0
CUST_23_443,28,114.0523264489604,0,Yes,Yes,Month-to-month,0
CUST_24_591,7,59.75720210875223,0,No,No,One year,0
CUST_25_513,12,71.77513505274801,0,Yes,Yes,Month-to-month,0
CUST_26_905,34,103.7710105907328,0,Yes,Yes,One year,0
CUST_27_485,33,87.56901170392807,0,Yes,Yes,One year,0
CUST_28_291,48,93.5216119240772,1,No,No,Month-to-month,1
CUST_29_376,23,40.90716207377137,0,No,Yes,Month-to-month,0
CUST_30_260,62,74.14479738275658,0,Yes,No,Month-to-month,1
CUST_31_559,37,89.57843993450822,0,No,Yes,Two year,0
CUST_32_413,44,42.855002179729965,0,Yes,Yes,Month-to-month,0
CUST_33_121,35,37.49549270959362,0,Yes,No,One year,1
CUST_34_352,65,118.21683433294356,0,No,Yes,Month-to-month,0
CUST_35_847,47,71.66358912710143,1,Yes,Yes,Two year,0
CUST_36_956,3,46.0829174830409,1,No,No,Month-to-month,0
CUST_37_660,1,119.62536997579244,1,No,Yes,Two year,1
CUST_38_574,5,116.54193512887936,0,Yes,Yes,Two year,0
CUST_39_158,14,75.82934536070977,0,Yes,Yes,Month-to-month,0
